message,message_length,num_digits,num_uppercase,num_special_chars,num_words,avg_word_length,num_exclamations,num_questions,label
Sorry completely forgot * will pop em round this week if your still here?,73,0,1,15,14,4.285714285714286,0,1,0
"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",444,11,44,114,71,5.23943661971831,0,1,0
ÃÃ predict wat time Ã_'ll finish buying?,43,0,3,12,7,5.285714285714286,0,1,0
Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs ,155,20,26,30,22,6.045454545454546,1,0,1
"Tonight? Yeah, I'd be down for that",35,0,3,9,7,4.142857142857143,0,1,0
"Thanks for your ringtone order, ref number K718. Your mobile will be charged Ã¥Â£4.50. Should your tone not arrive please call customer services on 09065069120",159,17,6,30,25,5.4,0,0,1
"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka? ",133,2,5,33,27,3.925925925925926,1,2,0
Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,106,13,7,20,17,5.294117647058823,1,0,1
Sorry i missed your call. Can you please call back.,51,0,2,11,10,4.2,0,0,0
U coming back 4 dinner rite? Dad ask me so i re confirm wif u...,64,1,2,18,15,3.3333333333333335,0,1,0
Are you at work right now ?,27,0,1,7,7,3.0,0,1,0
What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,154,14,5,35,32,3.84375,1,2,1
Sorry I missed your call let's talk when you have the time. I'm on 07090201529,78,11,3,17,15,4.266666666666667,0,0,1
Easy ah?sen got selected means its good..,41,0,1,9,7,5.0,0,1,0
"Yes obviously, but you are the eggs-pert and the potato headÂÃ_ Speak soon! ",78,0,4,19,13,5.0,1,0,0
Ha... U jus ate honey ar? So sweet...,37,0,3,14,8,3.75,0,1,0
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,150,22,12,25,23,5.565217391304348,0,0,1
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,155,25,10,33,28,4.571428571428571,0,0,1
Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*,126,0,4,29,24,4.291666666666667,0,0,0
Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW,157,18,19,28,28,4.642857142857143,0,1,1
You will go to walmart. I.ll stay.,34,0,2,9,7,4.0,0,0,0
"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other shit to deal with that i'm barely keeping myself together once this gets added to it.",234,0,4,52,43,4.465116279069767,0,0,0
"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ? ",138,0,4,43,29,3.7586206896551726,1,1,0
Ok.,3,0,1,1,1,3.0,0,0,0
Just send a text. We'll skype later.,36,0,2,9,7,4.285714285714286,0,0,0
"Sorry, I'll call later",22,0,2,5,4,4.75,0,0,0
"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",140,0,2,32,28,4.035714285714286,0,0,0
Yo come over carlos will be here soon,37,0,1,7,8,3.75,0,0,0
Then ur sis how?,16,0,1,4,4,3.25,0,1,0
"I prefer my free days... Tues, wed, fri oso can... ÃÃ ask those workin lor...",79,0,4,27,15,4.333333333333333,0,0,0
If u dun drive then how i go 2 sch.,35,1,1,10,10,2.6,0,0,0
I don't know but I'm raping dudes at poker,42,0,2,10,9,3.7777777777777777,0,0,0
Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*,183,0,6,56,36,4.111111111111111,2,0,0
"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was",138,0,7,34,29,3.793103448275862,0,1,0
"Just looked it up and addie goes back Monday, sucks to be her",61,0,2,13,13,3.769230769230769,0,0,0
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,128,12,5,27,24,4.375,2,0,1
"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!",135,0,3,32,26,4.230769230769231,2,0,0
Went to ganesh dress shop,25,0,1,4,5,4.2,0,0,0
Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,155,18,4,25,24,5.5,1,0,1
FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline,160,16,12,27,25,5.44,0,0,1
Hey are you angry with me. Reply me dr.,39,0,2,10,9,3.4444444444444446,0,0,0
Honey boo I'm missing u.,24,0,2,6,5,4.0,0,0,0
Hey mr  and I are going to the sea view and having a couple of gays I mean games! Give me a bell when ya finish ,112,0,4,28,26,3.269230769230769,1,0,0
Ya! when are Ã_ taking ure practical lessons? I start in june..  ,66,0,3,19,12,4.416666666666667,1,1,0
Oh... Kay... On sat right?,26,0,3,11,5,4.4,0,1,0
Hey... What time is your driving on fri? We go for evaluation on fri?,69,0,3,18,14,4.0,0,2,0
Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,212,0,49,51,39,4.461538461538462,0,0,0
8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity ,166,24,28,36,32,4.1875,0,0,1
Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...,92,0,4,29,20,3.65,0,1,0
Good night. Am going to sleep.,30,0,2,7,6,4.166666666666667,0,0,0
"Sir, waiting for your letter.",29,0,1,6,5,5.0,0,0,0
So how's the weather over there?,32,0,1,7,6,4.5,0,1,0
What time do u get out?,23,0,1,6,6,3.0,0,1,0
Ok... I din get ur msg...,25,0,2,11,6,3.3333333333333335,0,0,0
Watching tv lor... Y she so funny we bluff her 4 wat. Izzit because she thk it's impossible between us?,103,1,3,25,20,4.2,0,1,0
"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?",94,0,3,24,19,4.0,0,1,0
"For ur chance to win a Ã¥Â£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk.",126,23,14,30,19,5.684210526315789,0,0,1
THIS IS A LONG FUCKIN SHOWR,27,0,22,5,6,3.6666666666666665,0,0,0
Well if I'm that desperate I'll just call armand again,54,0,3,11,10,4.5,0,0,0
Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs,143,16,26,29,22,5.545454545454546,1,0,1
K:)k:)what are detail you want to transfer?acc no enough?,57,0,1,14,9,5.444444444444445,0,2,0
I cant pick the phone right now. Pls send a message,51,0,2,11,11,3.727272727272727,0,0,0
No probs hon! How u doinat the mo?,34,0,2,9,8,3.375,1,1,0
"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill",107,0,3,23,22,3.909090909090909,0,0,0
Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out,70,1,3,18,17,3.176470588235294,0,0,0
It has issues right now. Ill fix for her by tomorrow.,53,0,2,12,11,3.909090909090909,0,0,0
I HAVE A DATE ON SUNDAY WITH WILL!!,35,0,26,9,8,3.5,2,0,0
Thanks 4 your continued support Your question this week will enter u in2 our draw 4 Ã¥Â£100 cash. Name the NEW US President? txt ans to 80082,141,11,11,30,27,4.2592592592592595,0,1,1
"Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me",92,0,2,22,20,3.65,0,0,0
I cant wait to see you! How were the photos were useful? :),59,0,2,16,13,3.6153846153846154,1,1,0
Kothi print out marandratha.,28,0,1,4,4,6.25,0,0,0
Its just the effect of irritation. Just ignore it,49,0,2,9,9,4.555555555555555,0,0,0
Kallis wont bat in 2nd innings.,31,1,1,6,6,4.333333333333333,0,0,0
Ringtone Club: Gr8 new polys direct to your mobile every week !,63,1,3,13,12,4.333333333333333,1,0,1
Ha ha cool cool chikku chikku:-):-DB-),38,0,3,12,6,5.5,0,0,0
No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.,133,1,3,31,27,3.962962962962963,0,0,0
How r Ã_ going to send it to me?,33,0,2,11,9,2.7777777777777777,0,1,0
Okie,4,0,1,0,1,4.0,0,0,0
Call FREEPHONE 0800 542 0578 now!,33,11,10,6,6,4.666666666666667,1,0,1
She left it very vague. She just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place. But checking online now and all places around usc are  &lt;#&gt;  and up,257,0,3,54,46,4.565217391304348,0,0,0
"Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!",157,0,7,44,32,3.9375,2,0,0
"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",588,2,53,183,125,3.712,5,1,0
Are you plans with your family set in stone ?,45,0,1,10,10,3.6,0,1,0
Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?,121,0,4,31,26,3.6923076923076925,0,2,0
Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...,80,1,2,22,16,4.0625,0,0,0
Will it help if we propose going back again tomorrow,52,0,1,9,10,4.3,0,0,0
"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur Ã¥Ãrents mayb interested in it, I hav 12,000pes, so around Ã¥Â£48, tb, James.",163,8,12,45,32,4.125,0,0,0
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",160,24,12,38,27,4.962962962962963,4,0,1
"Fuuuuck I need to stop sleepin, sup",35,0,2,7,7,4.142857142857143,0,0,0
Well thats nice. Too bad i cant eat it,38,0,2,9,9,3.3333333333333335,0,0,0
"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x",90,0,2,20,19,3.789473684210526,0,0,0
Thanks. It was only from tescos but quite nice. All gone now. Speak soon ,73,0,4,17,14,4.214285714285714,0,0,0
"You are a Ã¥Â£1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE",152,25,18,27,23,5.6521739130434785,2,0,1
"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person",278,1,22,95,63,3.4285714285714284,1,4,0
"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card",120,0,3,27,26,3.6538461538461537,0,0,0
Ok lor then we go tog lor...,28,0,1,9,7,3.142857142857143,0,0,0
"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you",95,0,4,23,20,3.8,0,1,0
Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,150,13,25,27,22,5.863636363636363,0,0,1
Aah! A cuddle would be lush! I'd need lots of tea and soup before any kind of fumbling!,87,0,3,21,18,3.888888888888889,3,0,0
Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..,203,0,1,40,32,5.375,0,0,0
I'm meeting Darren...,21,0,2,6,3,6.333333333333333,0,0,0
And do you have any one that can teach me how to ship cars.,59,0,1,14,14,3.2857142857142856,0,0,0
Okey dokey swashbuckling stuff what oh.,39,0,1,6,6,5.666666666666667,0,0,0
\Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtÃ¥ÃbraindanceÃ¥Ãa comp.ofstuff on aphexÃ¥Ãs ;abel,142,2,7,29,15,8.533333333333333,1,1,0
What does the dance river do?,29,0,1,6,6,4.0,0,1,0
"SPJanuary Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",157,28,9,34,24,5.583333333333333,2,0,1
"Maybe westshore or hyde park village, the place near my house?",62,0,1,12,11,4.7272727272727275,0,1,0
No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...,80,0,3,26,18,3.5,0,0,0
IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx,153,0,121,29,26,4.923076923076923,4,0,0
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,144,0,8,34,28,4.178571428571429,0,0,0
This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...,133,9,1,46,30,3.4,0,0,0
O. Guess they both got screwd,29,0,2,6,6,4.0,0,0,0
Teach me apps da. When you come to college.,43,0,2,10,9,3.888888888888889,0,0,0
How long does it take to get it.,32,0,1,8,8,3.125,0,0,0
"No I'm good for the movie, is it ok if I leave in an hourish?",61,0,3,17,15,3.1333333333333333,0,1,0
Feel like trying kadeem again? :V,33,0,2,7,6,4.666666666666667,0,1,0
U too...,8,0,1,4,2,3.5,0,0,0
CHEERS LOU! YEAH WAS A GOODNITE SHAME U NEVA CAME! C YA GAILxx,62,0,46,14,13,3.8461538461538463,2,0,0
I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA,57,2,41,14,15,2.8666666666666667,0,0,0
U are subscribed to the best Mobile Content Service in the UK for Ã¥Â£3 per ten days until you send STOP to 83435. Helpline 08706091795.,136,17,13,28,25,4.48,0,0,1
Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY Ã¥Â£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,145,23,43,30,22,5.636363636363637,2,0,1
Hi.what you think about match?,30,0,1,6,5,5.2,0,1,0
Yeah imma come over cause jay wants to do some drugs,52,0,1,10,11,3.8181818181818183,0,0,0
Booked ticket for pongal?,25,0,1,4,4,5.5,0,1,0
"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply.",156,6,7,35,28,4.607142857142857,0,0,1
No that just means you have a fat head,38,0,1,8,9,3.3333333333333335,0,0,0
"Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to \DRINK\"". . . But don't \""DRIVE \""""",139,0,24,42,24,4.833333333333333,3,0,0
Ok going to sleep. Hope i can meet her.,39,0,2,10,9,3.4444444444444446,0,0,0
Will you be here for food,25,0,1,5,6,3.3333333333333335,0,0,0
Hey whats up? U sleeping all morning?,37,0,2,8,7,4.428571428571429,0,2,0
Otherwise had part time job na-tuition..,40,0,1,8,6,5.833333333333333,0,0,0
